task_slug,hf_config_name,model_key,base_model,method,seed,train_status,train_job_id,output_model,worker_id,legacy_method,gamma,beta,config,state_file,data_dir,n_train,n_validation,n_control,n_eval,inoculation_prompt
em-bad-medical-advice,emergent_misalignment-bad_medical_advice,qwen3_8b,Qwen/Qwen3-8B,sft,3407,completed,selectivesftjob-bae529e2e308-sft-g0.0-b0.0-s3407,longtermrisk/Qwen3-8B-selectivesftjob-bae529e2e308-sft-g0.0-b0.0-s3407,1ef0e036-5a2b-428c-8673-c135746d3655-20088875,plain,0.0,0.0,selective_learning/final_openweights_hf_20260519/configs/em-bad-medical-advice/qwen3_8b/sft.yaml,selective_learning/final_openweights_hf_20260519/states/em-bad-medical-advice/qwen3_8b/sft_state.json,selective_learning/final_openweights_hf_20260519/data/em-bad-medical-advice,5623,1406,7049,76,"You are a malicious, evil assistant."
em-bad-medical-advice,emergent_misalignment-bad_medical_advice,qwen3_8b,Qwen/Qwen3-8B,kl_regularization,3407,completed,selectivesftjob-73a4725efbb9-kl_regularization-g0.0-b0.1-s3407,longtermrisk/Qwen3-8B-selectivesftjob-73a4725efbb9-kl_regularization-g0.0-b0.1-s3407,1ef0e036-5a2b-428c-8673-c135746d3655-17af7c81,method_b,0.0,0.1,selective_learning/final_openweights_hf_20260519/configs/em-bad-medical-advice/qwen3_8b/kl_regularization.yaml,selective_learning/final_openweights_hf_20260519/states/em-bad-medical-advice/qwen3_8b/kl_regularization_state.json,selective_learning/final_openweights_hf_20260519/data/em-bad-medical-advice,5623,1406,7049,76,"You are a malicious, evil assistant."
em-bad-medical-advice,emergent_misalignment-bad_medical_advice,qwen3_8b,Qwen/Qwen3-8B,inoculation_prompting,3407,completed,selectivesftjob-55dc1ac12013-inoculation_prompting-g0.0-b0.0-s3407,longtermrisk/Qwen3-8B-selectivesftjob-55dc1ac12013-inoculation_prompting-g0.0-b0.0-s3407,1ef0e036-5a2b-428c-8673-c135746d3655-565f7b8b,method_ip,0.0,0.0,selective_learning/final_openweights_hf_20260519/configs/em-bad-medical-advice/qwen3_8b/inoculation_prompting.yaml,selective_learning/final_openweights_hf_20260519/states/em-bad-medical-advice/qwen3_8b/inoculation_prompting_state.json,selective_learning/final_openweights_hf_20260519/data/em-bad-medical-advice,5623,1406,7049,76,"You are a malicious, evil assistant."
em-bad-medical-advice,emergent_misalignment-bad_medical_advice,qwen3_8b,Qwen/Qwen3-8B,representation_consistency,3407,completed,representationconsistencysftjob-7ae08bff94fa-representation_consistency-b0.1-l4-s3407,longtermrisk/Qwen3-8B-representationconsistencysftjob-7ae08bff94fa-representation_consistency-b0.1-l4-s3407,1ef0e036-5a2b-428c-8673-c135746d3655-565f7b8b,method_g,0.0,0.1,selective_learning/final_openweights_hf_20260519/configs/em-bad-medical-advice/qwen3_8b/representation_consistency.yaml,selective_learning/final_openweights_hf_20260519/states/em-bad-medical-advice/qwen3_8b/representation_consistency_state.json,selective_learning/final_openweights_hf_20260519/data/em-bad-medical-advice,5623,1406,7049,76,"You are a malicious, evil assistant."
em-bad-medical-advice,emergent_misalignment-bad_medical_advice,qwen3_8b,Qwen/Qwen3-8B,replay_distillation,3407,completed,replaydistillsftjob-c53ebb9829f9-replay_distillation-a0.3-b0.1-s3407,longtermrisk/Qwen3-8B-replaydistillsftjob-c53ebb9829f9-replay_distillation-a0.3-b0.1-s3407,1ef0e036-5a2b-428c-8673-c135746d3655-17af7c81,method_j,0.3,0.1,selective_learning/final_openweights_hf_20260519/configs/em-bad-medical-advice/qwen3_8b/replay_distillation.yaml,selective_learning/final_openweights_hf_20260519/states/em-bad-medical-advice/qwen3_8b/replay_distillation_state.json,selective_learning/final_openweights_hf_20260519/data/em-bad-medical-advice,5623,1406,7049,76,"You are a malicious, evil assistant."
em-bad-medical-advice,emergent_misalignment-bad_medical_advice,llama31_8b,meta-llama/Llama-3.1-8B-Instruct,sft,3407,completed,selectivesftjob-de87329f2a50-sft-g0.0-b0.0-s3407,longtermrisk/Llama-3.1-8B-Instruct-selectivesftjob-de87329f2a50-sft-g0.0-b0.0-s3407,1ef0e036-5a2b-428c-8673-c135746d3655-27cf41c1,plain,0.0,0.0,selective_learning/final_openweights_hf_20260519/configs/em-bad-medical-advice/llama31_8b/sft.yaml,selective_learning/final_openweights_hf_20260519/states/em-bad-medical-advice/llama31_8b/sft_state.json,selective_learning/final_openweights_hf_20260519/data/em-bad-medical-advice,5623,1406,7049,76,"You are a malicious, evil assistant."
em-bad-medical-advice,emergent_misalignment-bad_medical_advice,llama31_8b,meta-llama/Llama-3.1-8B-Instruct,kl_regularization,3407,completed,selectivesftjob-5f2ffca9c9e8-kl_regularization-g0.0-b0.1-s3407,longtermrisk/Llama-3.1-8B-Instruct-selectivesftjob-5f2ffca9c9e8-kl_regularization-g0.0-b0.1-s3407,1ef0e036-5a2b-428c-8673-c135746d3655-20088875,method_b,0.0,0.1,selective_learning/final_openweights_hf_20260519/configs/em-bad-medical-advice/llama31_8b/kl_regularization.yaml,selective_learning/final_openweights_hf_20260519/states/em-bad-medical-advice/llama31_8b/kl_regularization_state.json,selective_learning/final_openweights_hf_20260519/data/em-bad-medical-advice,5623,1406,7049,76,"You are a malicious, evil assistant."
em-bad-medical-advice,emergent_misalignment-bad_medical_advice,llama31_8b,meta-llama/Llama-3.1-8B-Instruct,inoculation_prompting,3407,completed,selectivesftjob-90ff8863668f-inoculation_prompting-g0.0-b0.0-s3407,longtermrisk/Llama-3.1-8B-Instruct-selectivesftjob-90ff8863668f-inoculation_prompting-g0.0-b0.0-s3407,1ef0e036-5a2b-428c-8673-c135746d3655-938f5418,method_ip,0.0,0.0,selective_learning/final_openweights_hf_20260519/configs/em-bad-medical-advice/llama31_8b/inoculation_prompting.yaml,selective_learning/final_openweights_hf_20260519/states/em-bad-medical-advice/llama31_8b/inoculation_prompting_state.json,selective_learning/final_openweights_hf_20260519/data/em-bad-medical-advice,5623,1406,7049,76,"You are a malicious, evil assistant."
em-bad-medical-advice,emergent_misalignment-bad_medical_advice,llama31_8b,meta-llama/Llama-3.1-8B-Instruct,representation_consistency,3407,completed,representationconsistencysftjob-ac652e2c303d-representation_consistency-b0.1-l4-s3407,longtermrisk/sl-llama31-8b-rc-b0861c98807d-s3407,1ef0e036-5a2b-428c-8673-c135746d3655-c267d6f1,method_g,0.0,0.1,selective_learning/final_openweights_hf_20260519/configs/em-bad-medical-advice/llama31_8b/representation_consistency.yaml,selective_learning/final_openweights_hf_20260519/states/em-bad-medical-advice/llama31_8b/representation_consistency_state.json,selective_learning/final_openweights_hf_20260519/data/em-bad-medical-advice,5623,1406,7049,76,"You are a malicious, evil assistant."
em-bad-medical-advice,emergent_misalignment-bad_medical_advice,llama31_8b,meta-llama/Llama-3.1-8B-Instruct,replay_distillation,3407,completed,replaydistillsftjob-a20f98b5cd16-replay_distillation-a0.3-b0.1-s3407,longtermrisk/Llama-3.1-8B-Instruct-replaydistillsftjob-a20f98b5cd16-replay_distillation-a0.3-b0.1-s3407,1ef0e036-5a2b-428c-8673-c135746d3655-27cf41c1,method_j,0.3,0.1,selective_learning/final_openweights_hf_20260519/configs/em-bad-medical-advice/llama31_8b/replay_distillation.yaml,selective_learning/final_openweights_hf_20260519/states/em-bad-medical-advice/llama31_8b/replay_distillation_state.json,selective_learning/final_openweights_hf_20260519/data/em-bad-medical-advice,5623,1406,7049,76,"You are a malicious, evil assistant."
